ID,buildingAreaCategory,buildingShape,censusRegion,climateZone,HDD65,HEATPC,HVACUpgrade,insulationUpgrade,MAINCL,MAINHT,MONUSEC,numEmployeesCategory,numFloors,OCCUPYP,OPNWE,OWNTYPE,region,RENWLL,lightingUpgrade,roofConstuction,STUSED,OPEN24,wallConstruction,WHOPPR,WINTYP,WKHRSC,WWR,yrConstructionCategory,EUI
917,8,9,5,2,3772,3,1,2,2,2,4,9,10,85,1,2,3,2,1,6,2,2,2,0,2,4,4,7,64.530075
924,4,4,3,1,4864,3,1,2,2,2,4,5,1,100,2,1,2,2,1,1,2,2,3,2,1,5,3,6,108.0474118
928,4,2,3,1,6644,3,2,2,1,2,4,4,2,100,2,3,2,2,2,4,2,2,4,2,2,4,2,7,20.31390909
934,3,9,3,1,5071,3,1,2,1,2,4,6,2,100,1,2,2,2,2,4,2,2,1,0,1,4,1,3,335.8055882
941,9,2,7,3,983,3,2,2,3,2,4,10,994,100,2,2,3,2,2,1,2,2,3,0,2,4,6,8,69.23079167
951,3,2,7,3,1002,3,0,0,1,2,4,3,2,100,2,2,3,0,0,5,2,2,1,0,1,3,2,10,32.70214286
955,7,11,1,1,5834,3,2,2,3,2,4,7,7,93,2,8,1,2,2,6,2,2,1,0,2,4,3,4,78.34158772
960,3,11,1,1,8653,3,1,2,6,3,4,4,3,100,2,2,1,2,2,4,2,2,4,0,2,3,3,6,44.10988889
962,6,11,4,1,4868,3,1,2,2,2,4,6,3,100,1,5,2,2,1,6,2,1,1,0,1,7,3,4,77.6538125
965,2,2,9,1,6876,3,2,2,6,6,4,2,1,100,2,3,4,2,2,4,2,2,3,0,1,3,3,3,152.2336364
967,5,2,3,1,4648,3,2,2,2,3,4,7,3,100,2,10,2,2,2,6,2,2,1,0,3,4,2,1,162.8305581
978,2,2,2,1,3931,3,2,2,0,2,4,2,1,100,1,2,1,2,2,4,2,2,4,0,1,4,1,6,122.0619355
981,7,2,7,3,1012,3,2,2,2,2,4,8,7,100,2,2,3,2,2,6,2,2,2,0,2,4,3,9,39.24426974
984,3,2,1,1,4893,3,1,1,1,2,4,5,2,100,1,1,1,2,1,6,2,2,3,2,3,4,3,3,37.8848
988,2,5,8,1,5664,2,2,2,7,6,4,4,1,80,2,10,4,2,1,4,2,2,4,0,2,3,2,3,27.93694444
991,6,2,9,3,1464,3,2,2,2,5,4,7,3,92,1,1,4,2,1,7,2,2,3,0,1,4,3,7,82.62832584
994,3,2,3,1,5847,3,2,2,1,3,4,5,3,100,2,3,2,2,2,6,2,2,1,0,3,5,2,1,83.90957447
